Timestamp(ms),M_x(µT),M_y(µT),M_z(µT),M(µT)
243854,-31.333,10.947,-9.947,34.649
243866,-31.267,10.947,-9.813,34.550
243878,-31.173,10.907,-10.013,34.511
243912,-31.280,10.867,-9.933,34.572
243924,-31.347,10.893,-10.013,34.663
243935,-31.187,10.880,-9.973,34.503
243947,-31.253,10.893,-9.973,34.567
243959,-31.213,10.747,-9.853,34.451
243971,-31.187,10.840,-9.893,34.467
243982,-31.240,11.040,-9.987,34.606
243994,-31.293,11.013,-9.920,34.626
244006,-31.373,10.827,-9.893,34.632
244018,-31.320,10.813,-9.853,34.568
244030,-31.267,11.067,-10.080,34.665
244041,-31.293,11.000,-9.973,34.637
244053,-31.213,10.760,-9.907,34.470
244065,-31.240,10.960,-9.880,34.550
244077,-31.147,11.000,-9.987,34.509
244111,-31.333,10.813,-10.000,34.622
244122,-31.240,10.880,-9.973,34.551
244134,-31.280,11.067,-10.027,34.662
244146,-31.253,10.813,-10.067,34.569
244158,-31.240,10.707,-10.040,34.516
244170,-31.253,10.827,-9.893,34.523
244181,-31.347,10.960,-10.027,34.688
244193,-31.360,10.920,-9.907,34.653
244205,-31.347,10.840,-9.853,34.601
244217,-31.240,10.813,-9.960,34.526
244228,-31.253,10.813,-9.840,34.504
244240,-31.227,10.773,-9.853,34.471
244252,-31.280,10.787,-9.973,34.558
244264,-31.320,11.000,-9.987,34.665
244275,-31.227,10.947,-10.067,34.587
244309,-31.240,10.947,-10.013,34.584
244321,-31.187,11.040,-9.947,34.546
244333,-31.267,10.973,-9.973,34.605
244345,-31.387,10.827,-9.813,34.621
244357,-31.307,10.747,-9.987,34.574
244368,-31.213,10.867,-10.000,34.531
244380,-31.253,11.000,-9.973,34.601
244392,-31.333,10.853,-10.000,34.635
244404,-31.240,10.867,-9.800,34.497
244415,-31.267,10.947,-9.973,34.596
244427,-31.200,10.973,-9.933,34.533
244439,-31.267,10.920,-9.907,34.569
244451,-31.227,10.853,-9.880,34.504
244463,-31.120,10.867,-10.133,34.485
244474,-31.147,10.907,-9.973,34.475
244508,-31.253,11.000,-10.000,34.609
244520,-31.133,10.987,-10.147,34.539
244532,-31.267,10.987,-9.933,34.597
244544,-31.147,10.867,-9.907,34.443
244555,-31.200,10.773,-9.880,34.455
244567,-31.227,10.973,-9.960,34.565
244579,-31.293,10.920,-10.000,34.620
244591,-31.387,10.960,-9.947,34.701
244602,-31.373,10.867,-9.827,34.626
244614,-31.093,11.000,-9.960,34.453
244626,-31.253,10.947,-9.893,34.561
244638,-31.227,10.813,-9.960,34.514
244650,-31.200,10.880,-9.933,34.503
244661,-31.227,11.000,-9.973,34.577
244673,-31.173,10.973,-9.960,34.517
